id,expected,detected,risk_match,flags_match
1,MEDIUM,MEDIUM,OK,OK
2,HIGH,MEDIUM,FAIL,OK
3,LOW,LOW,OK,OK
4,LOW,MEDIUM,FAIL,OK
5,LOW,LOW,OK,OK
6,LOW,LOW,OK,OK
7,LOW,LOW,OK,OK
8,MEDIUM,MEDIUM,OK,FAIL
9,LOW,MEDIUM,FAIL,OK
10,HIGH,HIGH,OK,OK
11,MEDIUM,MEDIUM,OK,OK
12,LOW,LOW,OK,OK
13,MEDIUM,MEDIUM,OK,OK
14,LOW,LOW,OK,OK
15,MEDIUM,HIGH,FAIL,FAIL
16,MEDIUM,MEDIUM,OK,OK
17,MEDIUM,MEDIUM,OK,OK
18,MEDIUM,MEDIUM,OK,OK
19,LOW,MEDIUM,FAIL,OK
20,LOW,MEDIUM,FAIL,OK
21,MEDIUM,MEDIUM,OK,FAIL
22,LOW,LOW,OK,OK
23,LOW,MEDIUM,FAIL,OK
24,LOW,LOW,OK,OK
25,LOW,MEDIUM,FAIL,OK
26,HIGH,HIGH,OK,OK
27,HIGH,HIGH,OK,OK
28,HIGH,HIGH,OK,OK
29,HIGH,HIGH,OK,OK
30,LOW,MEDIUM,FAIL,OK
31,HIGH,HIGH,OK,OK
32,HIGH,HIGH,OK,OK
33,HIGH,HIGH,OK,OK
34,HIGH,HIGH,OK,OK
35,HIGH,HIGH,OK,OK
36,HIGH,HIGH,OK,OK
37,MEDIUM,HIGH,FAIL,FAIL
38,HIGH,HIGH,OK,OK
39,MEDIUM,MEDIUM,OK,OK
40,LOW,LOW,OK,OK
